FID,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,FROM_X,FROM_Y,NEAR_X,NEAR_Y,FID_,AREA,SUM
137,0,137,21,5.939179331060000,29.820813430200001,-2.508822351310000,29.820821127399999,-2.508875501570000,137,0.000003471944450,33.330800533300000
138,0,138,137,97.709836636500000,29.612815214600001,-2.509082567910000,29.612081139400001,-2.509568086040000,138,0.000009721444460,109.527304649000000
139,0,139,137,154.377112670999990,29.496503048899999,-2.506435228890000,29.497534384000001,-2.505500787000000,139,0.000001388777780,13.023109912900001
140,0,140,137,0.941162225641000,29.487220189599999,-2.506143570260000,29.487218402700002,-2.506135250750000,140,0.000002777555560,41.432758331300001
141,0,141,137,11.476406997300000,29.479685223400001,-2.506497443930000,29.479672888200000,-2.506600486890000,141,0.000009027055570,124.936451435000000
142,0,142,137,36.714716886200002,29.492257299399999,-2.504268425670000,29.492377662500001,-2.504577600930000,142,0.000006249500010,64.591835498799995
143,0,143,132,175.698834699000000,28.895416976100002,-2.506524551580000,28.896971788199998,-2.506806210840000,143,0.000012499000020,164.287518978000010
144,0,144,88,57.872477720299997,29.511294814599999,-2.502185933400000,29.511068520300000,-2.502657225010000,144,0.000003471944450,21.230076134200001
145,0,145,88,41.182080188500002,29.480689374000001,-2.502822904890000,29.481059080100000,-2.502801895730000,145,0.000004166333340,70.096776962299998
146,0,146,39,16.151897704800000,29.732818527300001,-2.497200195160000,29.732781878099999,-2.497341537820000,146,0.000005555111120,27.218812704099999
147,0,147,21,1.301436081210000,29.787290198299999,-2.495072570520000,29.787294993700002,-2.495083306470000,147,0.000002777555560,31.515177726699999
148,0,148,39,3.240842317750000,29.724157881400000,-2.492353589040000,29.724142508700002,-2.492378487590000,148,0.000006943888900,72.089858531999994
149,0,149,132,14.738237077999999,28.893480964599998,-2.491676180290000,28.893503439000000,-2.491544825430000,149,0.000001388777780,16.509551048300001
150,0,150,21,4.774266557060000,29.853424435699999,-2.485259464860000,29.853451890199999,-2.485292656660000,150,0.000002083166670,14.720758438100001
151,0,151,21,26.157125697900000,29.866876457600000,-2.484461026400000,29.866822279000001,-2.484230835660000,151,0.000005555111120,56.031302452100000
152,0,152,21,23.021329421499999,29.858858582500002,-2.484331752290000,29.858858581900002,-2.484539946240000,152,0.000016665333360,216.204025269000000
153,0,153,137,15.662133371600000,29.528322275899999,-2.484469175360000,29.528269408600000,-2.484600456680000,153,0.000005555111120,51.579216480299998
154,0,154,75,5.198515019400000,28.963743946000001,-2.483565482450000,28.963713627200001,-2.483529700850000,154,0.000006249500010,25.340724229799999
155,0,155,137,34.884795752199999,29.552161461499999,-2.482638838900000,29.552094903899999,-2.482947136290000,155,0.000009721444460,73.598027229300001
156,0,156,137,23.226804599699999,29.556481105500001,-2.482940051570000,29.556276847900001,-2.482896269380000,156,0.000002777555560,20.825809478800000
157,0,157,21,0.155798561095000,29.734175995000001,-2.482042372080000,29.734175126600000,-2.482041266490000,157,0.000002083166670,13.937341690100000
158,0,158,137,17.931576067999998,29.534684945599999,-2.481952733830000,29.534791513700000,-2.482074425620000,158,0.000003471944450,34.916759491000001
159,0,159,132,225.170445062999990,28.921232395299999,-2.484290341300000,28.921703835999999,-2.486270701000000,159,0.000020137277810,408.783358573999980
160,0,160,137,6.386621546100000,29.540895242500000,-2.480853793830000,29.540908147400000,-2.480910074100000,160,0.000003471944450,44.421744823499999
161,0,161,21,0.716695717574000,29.736612096799998,-2.479471906170000,29.736611224099999,-2.479465484410000,161,0.000001388777780,9.745642662050001
162,0,162,132,385.371877693999980,28.906220527399999,-2.482792309220000,28.908739213400001,-2.480398838580000,162,0.000029164333380,2934.898517610000000
163,0,163,21,25.571351933100001,29.729521986799998,-2.479021053660000,29.729742000200002,-2.478953886800000,163,0.000004166333340,34.291900634800001
164,0,164,131,1.936254925550000,29.767910767499998,-2.477396101510000,29.767902541300000,-2.477411534070000,164,0.000005555111120,61.844269037200000
165,0,165,88,11.024825635199999,29.506012368699999,-2.475668653880000,29.506077631800000,-2.475593607070000,165,0.000002083166670,15.527943611100000
166,0,166,132,49.460487394799998,28.967905991799999,-2.475415675810000,28.968336396300000,-2.475528264830000,166,0.000004860722230,26.583347559000000
167,0,167,132,121.567001934999990,28.977165199000002,-2.473253961130000,28.976818743300001,-2.474296670370000,167,0.000006249500010,36.928802967099998
168,0,168,78,53.852306814199999,29.687259170200001,-2.472283033720000,29.687633480900001,-2.472591979960000,168,0.000001388777780,7.795264959340000
169,0,169,105,62.208420422300001,29.648644366700001,-2.473260233490000,29.649155197100001,-2.473489411330000,169,0.000004860722230,39.422405242899998
170,0,170,132,123.958345132999990,28.969592399900002,-2.472467074970000,28.970129086000000,-2.473449577000000,170,0.000008332666680,65.137666702299995
171,0,171,21,116.010822559999990,29.912876047099999,-2.471854702320000,29.913380390200000,-2.472773066740000,171,0.000009027055570,60.593005418799997
172,0,172,99,88.578255496099999,28.901674629100000,-2.472542706200000,28.902053250600002,-2.471837952600000,172,0.000010415833350,478.607777596000010
173,0,173,137,130.711252054999990,29.566280140600000,-2.469338758120000,29.566833473900001,-2.470381640470000,173,0.000009027055570,84.548742294299998
174,0,174,132,554.936707458999990,28.909953610300001,-2.473806938020000,28.906522678000002,-2.477450871000000,174,0.000056245500090,3995.750878330000000
175,0,175,21,52.844319896400002,29.751722553000000,-2.468231983170000,29.752050623999999,-2.468577680000000,175,0.000003471944450,35.844606399500002
